#Trigger Channel,#Trigger Button,#Deadman Button,#Return Channel,#AudioBox Filename,#Script Name,#Disable Firing Button,#Alternate Firing Button,#Alternate 2 Firing Button,,
0,1,,0,,,,,,,
#Event Time,#Channel,#Cue,#Event Description,#Disable Groups,#Fire Time,#AUX Value,#DMX Universe,#DMX Channel,#DMX Value,#DMX Duration
STEP,1,1,strobe (90s) - 90-second patriotic strobe for national anthem,,,,,,,
STEP,2,1,strobe (90s) - 90-second patriotic strobe for national anthem,,,,,,,
STEP,1,2,starlink (45s) - 600g colorful crackles 3 directions ground filler,,,,,,,
STEP,1,3,divine beast & snake tails (35s) - Mortars 3x3 Red/White/Blue,,,,,,,
STEP,1,4,neon swarm (23s) - 200g colorful swarming breaks,,,,,,,
00:05.00s,2,2,thor (40s) - Standard sequential breaks,,,,,,,
00:40.00s,2,11,pro shells (96s) - Mortars 1x21 (1 per 4.5s) ,,,,,,,
01:30.00s,1,5,insurgent (24s) - 200g nice loud breaks,,,,,,,
02:13.00s,1,8,war cry (34s) - Born in the USA - 200g Fanning crackles and whistles,,,,,,,
02:43.00s,2,5,hulk (40s) - Standard sequential breaks,,,,,,,
03:07.00s,1,6,pyro fm (30s) - Varied small breaks and screamers,,,,,,,
03:30.00s,1,9,hydra (25s) - High and low small breaks,,,,,,,
03:32.00s,2,6,snake tails (50s) - Courtesy - Mortars 1x11 (1 per 4.5s),,,,,,,
04:10.00s,1,7,blow my whistle (28s) - 200g whistles and streams,,,,,,,
04:35.00s,2,8,pro shells (25s) - Mortars 4x4 (1 per 1.5s),,,,,,,
04:50.00s,2,7,iron man (40s) - Standard sequential breaks,,,,,,,
05:28.00s,1,11,neon pearls (39s) - Thunderstuck - 400g colorful fans ground filler,,,,,,,
05:28.00s,2,13,neon pearls (39s) - Thunderstuck - 400g colorful fans ground filler,,,,,,,
05:57.00s,1,12,magical neon willow (48s) - Medium breaks with nice ending willows,,,,,,,
06:25.00s,2,9,divine beast (12s) - Mortars 3x3 fan (1 per .75s),,,,,,,
06:40.00s,1,10,inner circle (20s) - Large and unique breaks,,,,,,,
07:00.00s,1,13,shitty shitty bang bang (43s) - Varied small breaks and fans,,,,,,,
07:40.00s,2,10,snake tails (12s) - Mortars 3x3 fan (1 per .75s),,,,,,,
07:50.00s,2,3,captain marvel (40s) - Standard sequential breaks,,,,,,,
07:50.00s,2,4,divine beast (36s) - Mortars 1x9 (1 per 4.5s),,,,,,,
08:28.00s,1,14,liquid colors (44s) - Finale - Vibrant color fan,,,,,,,
08:47.00s,1,15,god of thunder (23s) - Noisy varied small/loud breaks with fans,,,,,,,
08:50.00s,1,16,pro shells (30s) - Mortars 3x7 fan (1 per 1.4s),,,,,,,
09:05.00s,1,17,the undertaker (33s) - Finale cake 3 cakes shooting in different directions,,,,,,,
09:15.00s,2,12,salutes (24s) - Tanerite salutes,,,,,,,
END,,,,,,,,,,